coreid,identifier,catalogNumber,accessURI
f3c1a654-8317-48a8-8a58-ec77602f1fb5,00278db2-2f3d-4587-a78a-22b17f362be4,55569,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055569.jpg
5a0cfa79-f7bf-4f85-8b7b-7b582df6b215,3a437f51-6f64-48bf-957b-50e5f7d97989,55571,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055571.jpg
29514b0d-8285-4f8a-9a55-6e9260350cd9,b16b7af5-c7a8-4a29-b66f-0ad9bc2e5326,55572,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055572.jpg
89eebe31-cac7-4f32-827e-ec4b5f1fee96,f7f64421-2e2d-4668-a3d8-703f45ad4da3,55573,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055573.jpg
1d029b30-c41a-4934-af0e-e1fdd2e154cb,d0e620d2-fd8f-4edf-9d13-cbe727f7c62c,55574,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055574.jpg
2233f372-45f4-4111-8106-5525ac42e666,fa5f3cbb-57f6-4001-8a31-42ea2d52bbd9,55575,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055575.jpg
e6216c78-38d8-468f-8181-fbdef8e5021a,a52e72f4-1217-427e-b05e-11a46b1e05cb,55576,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055576.jpg
6cb51b50-ebb1-4218-83dd-a341f728c684,97a29237-5288-4aa9-830e-38a1ad51d13a,55577,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055577.jpg
46e8add5-49ac-4794-a5ae-f9719665c3b1,e98ee047-25b5-4696-8efb-769b62f6553c,55578,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055578.jpg
02aa27aa-8b7a-4ce8-bb41-275be4750493,71cb5ba2-6638-446b-9df0-1d22d0065e13,55579,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055579.jpg
64b74a24-331d-4d36-a571-af24774bcc88,01d30a33-caa1-478b-ac51-7c4530685aa6,55580,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055580.jpg
f0a93c5f-4370-42e5-b54c-d6d94f56c20c,bee91b9f-e88d-4706-9a1d-ebbaa898dd64,55581,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055581.jpg
aadc4964-3ddb-4aaa-a46b-d05146e424f5,f0829bad-cc57-4a97-a31c-5097ed4c00f5,55584,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055584.jpg
25c312ce-9346-47c8-9500-ecd38b98f87a,47d2370e-cce0-4b90-928d-eae23ba545d9,55585,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055585.jpg
e96831cd-34b4-4d73-bb65-46afb1f051f7,3cc1fdfb-9136-4dfd-86c7-bcdcfbedaa1d,55586,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055586.jpg
9819415e-d00b-4ef6-8bef-11cb0c4a047a,aec5b7ab-fa3b-492f-b7b3-ff9960c1e18d,55587,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055587.jpg
7b6e1de3-6272-4a02-b818-0171313c43a3,fe6a5a80-22f6-40b6-b024-11bb0f5af9b1,55588,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055588.jpg
3fa3a429-bbfb-49fb-913c-2ef3aff31f51,46de09d0-0543-4640-826f-daa45b129bf0,55589,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055589.jpg
13777276-5d31-4725-887a-92648d7ed52a,7df09aad-5125-4873-b0e6-47cc099cc921,55590,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055590.jpg
00e43dab-7873-4d95-aab1-e60193396749,9afe2b14-a61b-4898-8739-3efaa2eebbda,55591,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055591.jpg
b143ba6f-9554-455a-b6c4-4ac19dcf04b8,e4a77a25-6733-41fc-a9b1-7c429afbc2c4,55592,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055592.jpg
b362524c-44d2-4c9a-9bc2-2edd720ed4de,6b1ca587-d353-4a3b-883a-bd2d7334827a,55593,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055593.jpg
13bb11ec-f572-4c8e-b6a4-fc0197805a25,d7435d4c-5c32-4221-b26a-555d994afe07,55594,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055594.jpg
d4c9c68b-edce-4f97-8bc7-25a073b153b5,f21826e7-4f94-45f0-90c9-3c502ad75edd,55595,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055595.jpg
232da12d-3706-4c58-97bc-4be55ae5a377,df7963d4-5f5d-48dd-b2f3-39cee042d995,55596,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055596.jpg
5330d2c2-0d19-4bc8-90bb-96b2dce682ca,86960eaf-d40a-4cea-b369-382548bb1d2e,55597,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055597.jpg
01745cb6-ed97-4d27-92fe-a3c0bd9897a7,fb54c6ff-da13-4ffc-92b2-b63a24484920,55598,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055598.jpg
ae074b98-3abc-477d-ae27-a803f2f54727,cdca31b4-a992-47c8-9878-c91ecd65dede,55599,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055599.jpg
6cfff142-ef5b-45af-924b-ebe0a1697c1f,af31dd91-72a7-4eed-9480-3fa481080e14,55600,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055600.jpg
7239d7c2-3248-4cea-ac36-d038dce7143a,60efb06b-6fc6-46fc-a814-cae232b916e9,55601,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055601.jpg
31cb21f1-cd99-478a-bfaf-0c6683e8c469,d67def25-d7bb-440a-a6a7-4514eaf54890,55602,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055602.jpg
98156834-de27-457c-9530-cd4fa7e76989,d9651cac-02a3-4127-8176-0c29b99ed0b4,55603,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055603.jpg
d0b170b9-8603-4e02-8ce1-24eb6fda2fc9,d4b358e0-4ff9-4f3f-864a-b81cbec75208,55604,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055604.jpg
b37a1733-a6af-4eb8-884e-ec77a28d14ee,95007aa1-d93f-4fb9-ad45-55ff44319e1e,55605,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055605.jpg
287804ea-1efb-48f6-886a-4f5a77cc2a67,431b3a26-7813-450f-8d74-b6d9e69453f2,55606,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000055606.jpg
d9b898f9-6c11-4a55-8a09-95c0e3ff063e,789c6d18-a874-4d30-b70d-e1aa6e8ef3f7,59411,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000059411.jpg
28299d5e-fc75-418f-a9a6-ad6c6b678e58,d7cb6cc6-d20c-4fa5-8b37-3ff5843d7790,71322,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000071322.jpg
37085bed-9ac5-4f51-b2be-cbf582c2ffa7,4edca134-af97-4c1b-8a0d-98d5cb5f1be5,71340,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000071340.jpg
20c12ab9-ffdc-4a37-ac5a-5f989bd94cfb,693135e4-3ffc-4701-aa74-c074b36fdb76,71345,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000071345.jpg
62414ec0-fa9f-4af4-bf6e-1744a440efbd,6ce7bacd-e2e5-4a12-932b-a850b9a747a2,71354,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000071354.jpg
8b392d98-a9f0-4813-bb04-9be5692a2267,5e9d4b58-f4fc-43fd-af39-a412788ad93b,71358,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000071358.jpg
69710f84-09fc-4548-97df-dcfbe64d23db,6e9fc03e-29b3-4aef-99f9-80d8e3870188,71410,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000071410.jpg
a79d9b11-6c34-4a67-a3d7-cde8dbf028dc,0c03c3dd-cbac-4ed1-99c6-71014e6917b0,89246,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089246.jpg
2b304c41-6372-43a8-b347-35c9e20f9358,d16b4536-3b93-4578-8ebf-42ede540d5e5,89247,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089247.jpg
29ba14fe-7ff9-4136-b89d-92601db2e1cf,a8a768c9-6933-4285-b606-8c5cbad1dccb,89248,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089248.jpg
da2647a2-a519-4d4b-8d4f-db954443da70,ea172c97-1262-44f9-b134-8e68b1a3cb37,89249,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089249.jpg
f8709c04-79d5-4290-aba0-21803343532d,abd81cd3-9ab7-42e3-997a-7557181769ed,89250,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089250.jpg
1fe2c854-fce2-407e-bbcf-349b87b7fe79,a762f688-fde8-4f9f-bb38-32b53855950a,89251,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089251.jpg
36d22da9-dca9-4024-97b4-ff185e558720,b4b1433e-6db1-43aa-b2f2-e3b27b65f65b,89252,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089252.jpg
aecfe521-85fb-42e9-819e-456085d6b27a,1ee05a36-ae7e-4d1d-af39-1e02ab8b1e07,89253,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089253.jpg
3cd9110e-c559-41e5-857e-da2b1f9b7ffa,9d446f62-4a01-44a4-92b5-beb967061942,89254,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089254.jpg
48d836d0-3793-4b07-ad31-45acf71965c1,0ce6f37f-242c-4c4f-b1c4-94ba92831f0b,89255,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089255.jpg
8d3a071b-fa90-4d43-82f5-89c0adc8c5c8,73080e53-ba3b-4515-a440-f791b2a84d81,89256,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089256.jpg
600d712a-0593-49f8-9675-9c57d8d536d1,3b6871f7-7de1-4140-b4bf-88bad07e8e49,89257,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089257.jpg
a965f230-9ceb-4782-bd14-e04eb89ed501,cf1a3b65-6fe5-4c6c-9d36-b5510094f6e7,89258,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089258.jpg
7faa986f-c913-4684-83fc-1d352ef6b50a,d7946e89-9e45-4e2c-81da-1b5da82e079b,89259,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089259.jpg
b4a73b5e-037f-451c-a196-b9e9305f05c9,823535a8-c450-475b-86f1-44863983ae80,89260,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089260.jpg
91ed296e-fb34-44a2-9f9c-af52145fd6e4,4a188e8d-e73a-4de8-8387-be4288901d2c,89261,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089261.jpg
3e3371e0-cd81-4304-9662-b7d3ccf90230,b977f589-bd07-4ac3-ad4e-b548313a952d,89262,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089262.jpg
d62bd195-399b-4914-bcf3-fa7c571582b3,ba0f8b00-1df3-41c8-91c1-d2b8bbbb29ef,89263,http://herbarium.bio.fsu.edu/showimage.php?Image=images/herbarium/jpegs/000089263.jpg
